No.,Ts/Mpa,Eb/%,E
1,11.77505042,421.7351062,0.818884165
2,11.48421361,427.4385768,0.776820148
3,9.99630125,424.5569451,0.771762513
4,15.61255115,308.3002802,0.759550798
5,13.09271488,399.9871224,0.810000566
6,12.10066231,492.52463,0.770063087
7,15.61255115,308.3002802,0.759550798
8,16.25798315,469.5422394,0.793326982
9,18.15858433,554.975753,0.803202221
10,17.38275461,589.7858238,0.790191396
11,15.12504212,454.9575493,0.816858141
12,14.06383191,436.2583126,0.774469222
13,14.65800967,457.8582074,0.764658314
14,15.70625212,299.208803,0.757018779
15,16.28506973,388.6940202,0.808925968
16,14.85553124,527.141356,0.7660792
17,15.70625212,299.208803,0.757018779
18,18.84025195,470.2138405,0.792252384
19,17.81299778,500.7244337,0.810334222
20,18.84211543,541.9980613,0.785270654
21,17.53049193,466.317197,0.819295219
22,16.00416298,378.5482832,0.77775989
23,16.85203302,476.5873272,0.767469212
24,18.0114886,313.9541459,0.759329058
25,18.23434837,397.4603838,0.814385796
26,16.9237435,453.0999289,0.768741095
27,18.0114886,313.9541459,0.759329058
28,20.790306,478.0991285,0.767937545
29,19.90903681,511.8735396,0.786168436
30,20.41772611,552.3052504,0.788158992
31,13.51546747,438.4123508,0.819815243
32,15.15220579,388.8119114,0.773749489
33,16.04379122,441.0637695,0.768858727
34,19.99650236,321.3788175,0.759833521
35,13.65284117,412.391774,0.810961145
36,15.63177524,443.5016488,0.768849772
37,19.99650236,321.3788175,0.759833521
38,18.56911575,478.4597539,0.77849604
39,19.56467859,565.5158149,0.784502778
40,19.57894242,609.7497286,0.784899099
41,28.11168764,245.8136713,0.611029079
42,27.63158176,208.3540065,0.458991992
43,27.8790149,233.82577,0.320437387
44,30.25691624,236.012297,0.560764405
45,28.14719594,241.2585854,0.579368753
46,27.78747876,243.8658872,0.448702912
47,30.25691624,236.012297,0.560764405
48,25.61688333,241.8831931,0.491736214
49,24.87665328,267.6988466,0.542089121
50,25.10368711,269.2820237,0.536177133
51,29.0559418,244.8815354,0.616144264
52,27.20788994,198.1490734,0.499087066
53,28.99406254,220.2185045,0.309410307
54,30.42972438,241.3659389,0.551000096
55,29.26988974,231.5916612,0.591096668
56,28.06703894,236.7357581,0.488808826
57,30.42972438,241.3659389,0.551000096
58,26.15409976,241.9400725,0.484691132
59,25.39834914,249.1346104,0.535585082
60,26.72870534,253.9572205,0.54433213
61,28.54833541,255.4141748,0.631510385
62,27.95645097,206.9111608,0.590872216
63,28.1990516,231.0324327,0.436389985
64,30.7501216,232.6931126,0.646554104
65,28.73903738,240.4800822,0.611627654
66,28.21969949,244.2897266,0.57862477
67,30.7501216,232.6931126,0.646554104
68,25.84111057,242.309097,0.5110746
69,24.89725603,259.6719826,0.561427442
70,26.16664598,263.5264717,0.568386334
71,30.4428987,276.3743355,0.612943405
72,30.5691596,234.4243497,0.494501416
73,32.01757484,248.2266141,0.328667927
74,33.23004431,248.955957,0.608588951
75,31.01978164,270.429317,0.580856952
76,31.49528708,277.2703748,0.482253855
77,33.23004431,248.955957,0.608588951
78,26.2234848,302.5209025,0.504482975
79,25.24615911,334.424659,0.54352762
80,25.35253116,336.4024541,0.537615633
81,19.24894692,312.6121021,0.886161569
82,19.75931762,282.2632641,0.856085045
83,19.15927986,271.952294,0.83889545
84,20.79925001,300.251505,0.848423956
85,19.51849196,297.9723893,0.86415042
86,19.54748493,324.5100678,0.849905529
87,20.79925001,300.251505,0.848423956
88,21.66020865,345.3685519,0.865181707
89,23.07089221,401.0637168,0.889209563
90,23.43737326,419.0054778,0.885381385
91,19.95434232,315.458062,0.886309999
92,19.74668426,261.4959302,0.868440672
93,20.03783635,258.5209015,0.84585928
94,21.47286548,282.138681,0.855387785
95,21.06227382,283.657754,0.869256242
96,20.08821171,299.777506,0.862272
97,21.47286548,282.138681,0.855387785
98,22.75603334,344.5089157,0.858529939
99,24.15364301,368.8666446,0.882557785
100,24.5545143,369.6263741,0.890487206
101,20.29466705,325.5181846,0.924877917
102,20.71663644,273.7294468,0.900202384
103,20.443144,269.2576648,0.871033917
104,22.29908073,297.3610637,0.868830993
105,21.116321,299.2803973,0.91674141
106,20.51037445,310.547023,0.894022863
107,22.29908073,297.3610637,0.868830993
108,24.31309894,340.7022882,0.876492232
109,25.67688851,384.05819,0.900040313
110,26.0847598,385.0017623,0.907613769
111,21.00192097,325.2909742,0.910823761
112,20.72818632,286.819521,0.851065517
113,21.029395,269.2582884,0.838592032
114,21.85843377,313.5447593,0.835340684
115,21.42144161,328.754575,0.888812607
116,21.01322331,321.5469685,0.844885996
117,21.85843377,313.5447593,0.835340684
118,19.77841572,373.5487645,0.860112509
119,20.87171467,413.8450291,0.883660605
120,20.98971421,434.6188235,0.880177527
121,13.41245938,992.738983,0.712631088
122,12.3965463,506.4275101,0.615129154
123,12.29824859,644.343977,0.424064619
124,17.06216776,832.4031136,0.583070033
125,12.9619883,793.2047163,0.696776154
126,12.66008041,603.4174372,0.619345105
127,17.06216776,832.4031136,0.583070033
128,15.86454656,707.9394973,0.530246947
129,16.43716564,806.052629,0.629259438
130,15.89681703,804.1650966,0.621008115
131,15.81080522,1086.958165,0.707569774
132,15.91207617,685.6248483,0.612837398
133,15.66718285,786.7542334,0.41807458
134,20.07791311,910.9050938,0.577295455
135,18.9894184,983.9432001,0.695224256
136,16.33066441,914.0648368,0.620487833
137,20.07791311,910.9050938,0.577295455
138,21.95544719,863.8094387,0.52917235
139,19.31186648,936.880395,0.62818484
140,20.35829481,934.6865033,0.614825518
141,16.62288764,1133.482563,0.717790947
142,16.79928889,702.9828181,0.668060603
143,16.53949559,778.7799005,0.489174529
144,20.73190496,896.7520082,0.649799362
145,19.62470009,1020.094219,0.705495094
146,17.08794954,938.110135,0.668694763
147,20.73190496,896.7520082,0.649799362
148,21.97782467,543.386633,0.541396115
149,19.62994631,573.445416,0.639391218
