,pieceVSA_EState3,pieceSlogP_VSA5,pieceMolLogP,pieceVSA_EState10,pieceMaxEStateIndex,pieceFpDensityMorgan1,pieceqed,pieceVSA_EState9,pieceEState_VSA5,pieceMinEStateIndex,pieceVSA_EState1,pieceHallKierAlpha,extender1_ratio,Hs_wt,polyol_ratio,extender2_ratio,mac_rate,preqed,ex1VSA_EState10,ex1EState_VSA8
195,-0.3597445412388054,1.2815714548656392,0.05120916325256624,-0.2775500352428201,0.7401479593380487,-0.05797380636468619,1.8079744965697813,-0.7326682862971374,-0.48786968787362117,0.5661227472099285,0.7790843004380922,0.6981139142037764,-0.7085587289172731,-0.6431803717126642,-0.07158639936660227,0.4780827288672353,-0.37144512321810186,0.735243050495901,-0.15366482358604158,-0.5402184245970741
196,-0.2841726027634291,1.2413762035527713,0.3284542602008961,-0.2775500352428201,0.6822456857821984,-0.3415027343220765,-0.20484367046575733,1.9488356731373297,-0.8208993770373434,0.9524444124129352,0.6886653679451472,0.6834733500556207,-0.7085587289172731,-0.7583698388688065,-0.07158639936660227,0.4780827288672353,-0.23754474185674151,0.735243050495901,-0.14634679242611637,1.4072747926532092
197,-0.32775060090174674,-0.648072080539062,-0.1840378812587902,-0.012968895138432008,0.8217625081603842,2.134305416645759,-0.5065147545289869,-0.7703450140132829,-0.21240074049217694,0.03022425252484345,-0.7161920017545906,0.43751187236660355,-1.5315268174008796,0.9694721684733277,-0.07158639936660227,1.3645602023590435,-0.23754474185674151,-0.26161754295671047,0.48430953598993065,0.29330749888050206
198,-0.3145441999093208,-0.07580766987849137,-0.41363430839533133,-0.2775500352428201,0.5696255337563073,1.521938747098011,0.8370801124631891,0.5512399306050012,0.5564797209874348,0.015718281565338294,-0.727760102005197,0.7527720203568914,-1.3504738379344863,0.8414838716331698,-0.015522463794463206,1.0365635371670745,0.8336583090341414,0.7451222336656728,-0.303360734955137,0.7132123153132314
199,-0.37609943287184316,-0.10801061039409278,-0.25689027978890155,-0.2775500352428201,-0.457050459693515,0.1717062488543631,0.6227097419321264,-0.7578275866846479,-0.48786968787362117,0.2336806497132489,-0.769633095535791,0.31794726515666466,-1.1611911775832566,-0.9887487731810909,2.8250502718605803,-0.6300141129975251,-0.23754474185674151,-0.11029017568851666,-0.18376689958301895,-0.5402184245970741
200,-0.31378116500242154,-2.0191040777057627,-2.2926714945935514,-0.2775500352428201,-0.5605511046772815,3.05269262468533,-0.9566088532915685,1.5249998309203814,0.19029354880559285,0.4738644787884265,-1.8538692810134787,0.5770852505790219,1.0608226613224807,3.049281992125897,-0.9032014436866642,-0.6300141129975251,-0.37144512321810186,4.156247985909191,-0.08530813557689401,-0.5402184245970741
201,-0.32775060090174674,-0.648072080539062,-0.1840378812587902,-0.012968895138432008,0.8217625081603842,2.134305416645759,-0.5065147545289869,-0.7703450140132829,-0.21240074049217694,0.03022425252484345,-0.7161920017545906,0.43751187236660355,-1.737268839521781,1.0142680723673831,-0.07158639936660227,1.586179570731996,-0.23754474185674151,-0.26161754295671047,0.48430953598993065,0.29330749888050206
202,-0.37276249219454427,-0.32219899459278356,-0.7255985027396676,-0.2775500352428201,-0.17801293249971553,0.24107050669912117,1.529233097062749,-0.7340894848963121,-0.48786968787362117,0.8179902925791271,-0.7295874732861645,0.7986457880211127,0.7316354259290379,0.547110788900806,-0.5387858624677606,-0.6300141129975251,0.8336583090341414,0.7451226852957976,-0.15366482358604158,-0.5402184245970741
203,-0.3734665632592366,-0.29742486298184934,-0.6891384307863186,-0.2775500352428201,-0.08748540239632539,0.725149343769996,0.6227097419321264,-0.7342378516080528,-0.48786968787362117,0.6524588851893617,-0.7305357818068051,0.76643654689517,0.7316354259290379,0.6750990857409642,-0.5387858624677606,-0.6300141129975251,-0.23754474185674151,0.7451226852957976,-0.28941099565087364,0.41614496890791686
204,-0.31378116500242154,-2.0191040777057627,-2.2926714945935514,-0.2775500352428201,-0.5605511046772815,3.05269262468533,-0.9566088532915685,1.5249998309203814,0.19029354880559285,0.4738644787884265,-1.8538692810134787,0.5770852505790219,0.4024481905355955,2.5245299750812484,-0.18371427051088038,-0.6300141129975251,-0.37144512321810186,4.156247985909191,-0.08530813557689401,-0.5402184245970741
205,-0.3684891747100839,-0.12814236587105896,-0.5444653223526691,-0.2775500352428201,1.7282837132288293,1.0334909884788057,-0.0963190818128327,-0.701767970545611,0.34316155330727893,-0.9262585772595836,-0.6839400981380707,0.7420356066482438,0.17201712576018574,0.6559008412149404,-0.015522463794463206,-0.6300141129975251,0.8336583090341414,0.7451222336656728,-0.3548543826609796,-0.5402184245970741
206,-0.3720201630021057,1.2627950431401849,0.21736000469226965,-0.2775500352428201,0.45047641612758665,-0.37245876215348256,0.8870795635093406,0.4735353915769353,-0.48786968787362117,0.7348768724724152,0.8001889287976923,0.7044581586679772,-0.5028167067963716,0.44472015142867977,-1.1928651108093824,1.3202363286844532,-0.23754474185674151,0.735243050495901,-0.15366482358604158,-0.5402184245970741
207,-0.32775060090174674,-0.648072080539062,-0.1840378812587902,-0.012968895138432008,0.8217625081603842,2.134305416645759,-0.5065147545289869,-0.7703450140132829,-0.21240074049217694,0.03022425252484345,-0.7161920017545906,0.43751187236660355,-1.1200427731590763,0.8734809458432093,-0.07158639936660227,0.9213214656131393,-0.23754474185674151,-0.26161754295671047,0.48430953598993065,0.29330749888050206
208,-0.3176665654360372,-0.09102478957604405,-0.3939563170202856,-0.2775500352428201,-0.911886366190363,0.24772824503611934,1.8729490527454726,-0.701941674288251,0.1136451139436136,0.4293590091109845,-0.6598990039494409,0.689329575714883,-0.041954577245552085,0.4831166404807272,0.339549128162417,-0.6300141129975251,-0.44107332152600925,0.7451222336656728,-0.37095972657577386,-0.11350464234301642
209,-0.32775060090174674,-0.648072080539062,-0.1840378812587902,-0.012968895138432008,0.8217625081603842,2.134305416645759,-0.5065147545289869,-0.7703450140132829,-0.21240074049217694,0.03022425252484345,-0.7161920017545906,0.43751187236660355,-1.325784795279978,0.9182768497372648,-0.07158639936660227,1.1429408339860918,-0.23754474185674151,-0.26161754295671047,0.48430953598993065,0.29330749888050206
