pieceVSA_EState6,pieceBCUT2D_MRHI,ex1EState_VSA8,pieceEState_VSA6,piecePEOE_VSA10,piecefr_C_O_noCOO,pieceSlogP_VSA5,pieceBertzCT,pieceEState_VSA1,ex1qed,preChi1n,pieceSMR_VSA5,ex2MolLogP,ex1BCUT2D_LOGPHI,pieceVSA_EState4,preChi4v,piecePEOE_VSA7,ex2Chi4n,pieceFpDensityMorgan2,ex1SPS.1,preMinEStateIndex,pieceEState_VSA2,pieceBCUT2D_CHGLO,pieceHallKierAlpha,pieceBCUT2D_LOGPHI,pieceMaxEStateIndex,pieceBCUT2D_MWHI,ex1PEOE_VSA8,ex2MinAbsEStateIndex,preChi4n,pieceChi4n,pieceSlogP_VSA3,preSMR_VSA6,ex1EState_VSA4,R,pieceVSA_EState3,ex2BCUT2D_LOGPHI,pieceVSA_EState9,pieceVSA_EState2,pieceMinAbsEStateIndex,pieceChi4v,pieceNumHeteroatoms,pieceChi3v,preKappa3,polyol_ratio,preMaxPartialCharge,pieceKappa3,Diisocyanate_ratio,pieceMinEStateIndex,piecePEOE_VSA14,pieceEState_VSA3,pieceVSA_EState5,piecePEOE_VSA8,pieceBCUT2D_CHGHI,Hs_wt,extender2_ratio,prePEOE_VSA8,extender1_ratio,self_time,self_tem
136.410572,8.763785225,0,35.68313992,0,16,1963.895138,22438.11175,60.93240071,0.64279436,73.39232993,1936.037454,-0.316,2.37019386,29.16341867,18.76330769,2257.916393,0.288675135,0.055066079,777,-0.504299918,36.18668707,-2.104034862,-30.62,2.906474917,13.11577373,33.11475595,21.1657395,0.775,18.76330769,92.09494833,761.8960161,418.6859034,11.37477255,1,62.06248783,1.767324744,6.319777146,202.2988308,0.255902247,94.02580311,190,149.8986877,128.4538145,0.25,0.411111954,647.8654639,0.5,-0.497732123,97.11908778,431.454826,0,1989.275727,2.85573747,0.2724336,0,392.7349351,0.25,8,60
121.5772912,8.763545696,0,7.047671983,13.21376393,16,1963.895138,21563.1275,79.21212092,0.44273582,73.39232993,1926.246487,-0.316,2.183066881,27.62413432,18.76330769,2209.385457,0.288675135,0.058888889,777,-0.504299918,31.30710747,-2.104034862,-29.06,2.89323198,12.78634875,33.11471323,11.50570721,0.775,18.76330769,90.9619764,776.1066049,418.6859034,11.50570721,1,53.24686458,1.767324744,5.944611923,199.1399434,0.199617181,92.61578316,190,148.1631754,128.4538145,0.25,0.411111954,659.9375597,0.5,-0.55220665,97.30546446,443.6939685,1.094984033,1972.568022,2.847574474,0.246639069,0,392.7349351,0.25,8,60
120.995096,8.763229423,0,14.09534397,0,16,1963.895138,21175.80896,60.93240071,0.320455409,73.39232993,1926.246487,-0.316,2.142830747,27.84074714,18.76330769,2209.385457,0.288675135,0.054565702,777,-0.504299918,36.18668707,-2.104034862,-29.06,2.890101291,12.78633415,33.11472506,11.75357678,0.775,18.76330769,90.84812658,761.8960161,418.6859034,0,1,61.76395751,1.767324744,5.959104346,199.5161789,0.25589754,92.24838646,190,147.5877232,128.4538145,0.25,0.411111954,658.0278983,0.5,-0.500081417,97.11908778,425.2267482,0.632834553,1968.109987,2.845016416,0.238022088,0,392.7349351,0.25,8,60
117.1933814,8.763880693,9.473725908,38.36081224,12.08368166,18,1963.895138,22015.45256,97.01692197,0.357058394,73.39232993,1938.330169,-0.316,2.21934945,27.11808045,18.76330769,2209.385457,0.288675135,0.064977974,777,-0.504299918,48.84392919,-2.183989162,-30.12,2.900038235,13.30450219,33.114715,11.50570721,0.775,18.76330769,91.72913635,780.9588163,418.6859034,0,1,61.20918359,1.767324744,7.995793201,226.6304892,0.061954645,94.02643101,194,149.5797359,128.4538145,0.25,0.411111954,656.0582155,0.5,-1.066512185,109.0576984,413.4731715,-1.234797385,1979.615694,2.859832886,0.277684719,0,392.7349351,0.25,8,60
136.0406581,8.763781399,0,31.31314026,11.49902367,16,1963.895138,22429.01655,79.21212092,0.810579141,73.39232993,1936.037454,-0.316,2.37515263,27.53945254,18.76330769,2257.916393,0.288675135,0.064977974,777,-0.504299918,18.09334354,-2.104034862,-30.62,2.907560022,12.99953198,33.114756,9.790966951,0.775,18.76330769,91.92300042,766.632879,418.6859034,9.790966951,1,53.30709373,1.767324744,5.973275892,201.8271845,0.255908018,93.8538552,190,149.6668068,128.4538145,0.25,0.411111954,647.8654639,0.5,-0.617665228,97.30546446,443.687285,0.775920064,1970.853282,2.856520484,0.272954111,0,392.7349351,0.25,8,60
121.7585422,8.763371975,0,28.63546794,0,16,1976.736781,21597.54905,79.21212092,0.457314917,73.39232993,1939.08813,-0.316,2.214369426,27.72579549,18.76330769,2222.2271,0.288675135,0.058758315,777,-0.504299918,31.30710747,-2.104034862,-29.06,2.895601812,12.7863736,33.11471331,24.71947114,0.775,18.76330769,91.19064151,776.1066049,418.6859034,24.34735046,1,53.30475357,1.767324744,6.274815528,199.1411686,0.255900597,93.31196185,190,148.8178759,128.4538145,0.25,0.411111954,661.8475664,0.5,-0.51465947,97.30546446,431.8161406,1.577283654,1972.568022,2.849536158,0.254516882,0,392.7349351,0.25,8,60
117.1933814,8.763880693,9.473725908,38.36081224,12.08368166,18,1963.895138,22015.45256,97.01692197,0.357058394,73.39232993,1938.330169,-0.316,2.21934945,27.11808045,18.76330769,2209.385457,0.288675135,0.064977974,777,-0.504299918,48.84392919,-2.183989162,-30.12,2.900038235,13.30450219,33.114715,11.50570721,0.775,18.76330769,91.72913635,780.9588163,418.6859034,0,1,61.20918359,1.767324744,7.995793201,226.6304892,0.061954645,94.02643101,194,149.5797359,128.4538145,0.25,0.411111954,656.0582155,0.5,-1.066512185,109.0576984,413.4731715,-1.234797385,1979.615694,2.859832886,0.277684719,0,392.7349351,0.25,8,60
134.5718854,8.764195664,0,79.8440768,26.42752786,18,1984.611115,22851.83809,91.1507315,0.495409576,73.39232993,1936.037454,-0.316,2.402742668,27.68486262,18.76330769,2233.650925,0.288675135,0.067538126,777,-0.504299918,68.86153831,-2.117735308,-31.68,2.916271531,13.47010769,33.114758,9.790966951,0.775,18.76330769,92.70598548,785.5803308,418.6859034,0,1,53.07076018,1.767324744,5.398018947,227.7919216,0.212345587,95.04678122,194,150.9631212,128.4538145,0.25,0.411111954,648.7221024,0.5,-0.727558386,109.244075,428.7654643,-1.269554628,1970.853282,2.868690849,0.309149895,0,392.7349351,0.25,8,60
135.4378183,8.764200315,0,31.31314026,0,18,2010.294402,22922.28252,91.1507315,0.26439453,73.39232993,1961.72074,-0.316,2.403378968,28.13514269,18.76330769,2259.334212,0.288675135,0.066160521,777,-0.504299918,57.73463532,-2.11435125,-31.68,2.920785176,13.4709064,33.11475851,23.00473088,0.775,18.76330769,93.23624224,785.5803308,418.6859034,9.790966951,1,53.21340684,1.767324744,5.53548948,227.8168642,0.101682026,95.57703798,194,151.8738048,128.4538145,0.25,0.411111954,652.5003874,0.5,-0.608063765,109.244075,465.5756538,-1.021098146,1970.853282,2.872556122,0.322284768,0,392.7349351,0.25,8,60
135.9963235,8.764204985,0,31.31314026,0,18,2035.977688,23010.71737,91.1507315,0.155490595,73.39232993,1987.404027,-0.316,2.403708222,28.41221227,18.76330769,2285.017498,0.288675135,0.066954644,777,-0.504299918,51.12775336,-2.112499075,-31.68,2.925384815,13.46659416,33.11475903,23.00473088,0.775,18.76330769,93.94334902,785.5803308,418.6859034,61.15753993,1,53.29365896,1.767324744,5.621556042,227.8102561,0.22137541,96.28414476,194,152.8738048,128.4538145,0.25,0.411111954,656.2802896,0.5,-0.547134009,109.244075,472.1825358,-0.891138469,1970.853282,2.876463712,0.334929503,0,392.7349351,0.25,8,60
