,ex2PEOE_VSA9,R,ex2BCUT2D_CHGHI,pieceSMR_VSA6,pieceFpDensityMorgan2,preBCUT2D_MWHI,pieceBCUT2D_MRLOW,polyol_MW,piecePEOE_VSA10,pieceVSA_EState6,pieceVSA_EState9,preSlogP_VSA5,piecePEOE_VSA7,ex2MinAbsEStateIndex,ex1PEOE_VSA2,ex1VSA_EState4,piece_mw,ex2BCUT2D_LOGPHI,pieceHallKierAlpha,pieceSPS,polyol_ratio,ex2FpDensityMorgan3,ex1VSA_EState7,mac_rate,pieceBCUT2D_MWHI,extender1_ratio,pieceMinAbsEStateIndex,pieceMaxAbsEStateIndex,ex2BCUT2D_LOGPLOW,Diisocyanate_ratio,Hs_wt,pieceqed,pieceBCUT2D_MRHI,ex2FpDensityMorgan1,extender2_ratio,pieceBalabanJ,pieceEState_VSA6,pieceMaxPartialCharge,pieceMinEStateIndex,piecePEOE_VSA9,ex2PEOE_VSA7,ex2MolLogP,pieceNumAliphaticHeterocycles,ex1PEOE_VSA9,pieceVSA_EState5,pieceVSA_EState2,ex2MaxPartialCharge,pieceBertzCT,ex2TPSA,lg_ts
10,26.30327674,1,1.887746946,991.7896236,0.094795539,16.56414475,0.075755692,1000,26.42752786,18.28229113,2.829553146,288.936973,1413.946271,0.071826501,9.984809465,1.986589244,7670.882,1.997622576,-17.16,18.79182156,0.125,1.5,3.454098797,50,16.7380498,0.188,0.112205064,12.79399181,-1.907949056,0.5,0.631,0.016609803,5.8719017,0.8125,0.188,0.194181084,24.85840232,0.406909147,-0.391371354,106.4674404,11.12690298,0.509,0,26.30327674,10.79618275,218.5878445,0.062643332,12265.77756,65.18,1.656098202
11,26.30327674,1,1.887746946,991.7896236,0.092081031,16.56312202,0.076093321,1000,26.42752786,18.34446245,2.83209687,295.3577947,1478.154487,0.071826501,9.984809465,1.986589244,7741.017,1.997622576,-17.16,18.72928177,0.125,1.5,3.454098797,500,16.73768923,0.375,0.112373525,12.79451268,-1.907949056,0.5,0.631,0.016609803,5.872255572,0.8125,0,0.193871579,24.85840232,0.406909147,-0.391185944,106.4674404,11.12690298,0.509,0,26.30327674,10.83723698,218.6682778,0.062643332,12365.07127,65.18,1.656098202
12,0,1,1.768324594,654.2662978,0.06295754,16.59920646,-0.148227699,830,66.06881965,117.2624875,2.601053541,330.4532439,1515.936722,0.195,0,0,9625.629,1.802227409,-56.16,10.89604685,0.083,1.333333333,1.4375,100,16.85467216,0.417,0.030334836,12.65382745,-1.849294283,0.5,0.702,0.009560247,6.12098948,0.833333333,0,0.233503757,194.1237462,0.411111959,-0.638138802,503.1288605,12.84164325,-0.2488,0,0,-19.94976113,937.240305,0.043137008,22986.52704,40.46,1.651278014
13,6.606881965,1,2.278399076,979.1964826,0.069271758,16.56312202,0.01888606,1000,26.42752786,2.319204658,2.83116164,295.3577947,1595.147094,0.038126629,0,0,8045.397,2.350109214,-17.2,20.06749556,0.25,1.653846154,8.550473903,24,16.78649535,0.25,0.001697703,12.83369477,-2.39218665,0.5,0.473,0.015272342,5.788767274,0.769230769,0,0.176948796,0,0.40974528,-0.582649916,80.28841473,69.6232067,1.8886,0,6.606881965,12.85340759,252.2052897,0.408962365,12929.47794,117.12,1.643452676
14,13.21376393,1,2.038585866,992.0381258,0.091891892,16.56312202,0.076093291,1000,52.85505572,16.78794269,2.83022875,295.3577947,1478.154487,0.049856561,0,1.674025941,7925.117,2.049638937,-18.76,18.43963964,0.217,1.772727273,-1.212667914,24,16.76223878,0.283,0.019834405,12.76874021,-2.255658604,0.5,0.502,0.021596918,5.787780495,0.909090909,0,0.19444486,0,0.407020091,-0.665337772,80.28841473,11.12690298,0.1236,0,13.21376393,10.44124273,251.1128456,0.406978764,12737.98699,117.12,1.64246452
15,0,1.002,1.963073005,673.0585681,0.168932039,16.62864282,-0.137464128,1000,63.55424176,-4.693050292,2.958518236,204.6946225,870.7996516,1.101851852,4.794537184,6.092594482,7415.929,1.443748919,-16.86,23.06990291,0.206,1.166666667,0.313935185,50,16.84488767,0.057,0.000144779,13.73275651,-2.294348832,0.495,0.404,0.021268219,6.397586674,1,0.231,0.465582675,62.43756958,0.407196152,-1.347212555,1094.138789,0,-2.043,0,0,-2.753191756,257.6455749,0.306016275,14800.96696,86.18,1.628797486
16,26.30327674,1,1.887746946,991.7896236,0.092081031,16.56312202,0.076093321,1000,26.42752786,18.34446245,2.83209687,295.3577947,1478.154487,0.071826501,9.984809465,1.986589244,7741.017,1.997622576,-17.16,18.72928177,0.1,1.5,3.454098797,500,16.73768923,0.4,0.112373525,12.79451268,-1.907949056,0.5,0.687,0.016609803,5.872255572,0.8125,0,0.193871579,24.85840232,0.406909147,-0.391185944,106.4674404,11.12690298,0.509,0,26.30327674,10.83723698,218.6682778,0.062643332,12365.07127,65.18,1.62324929
17,26.30327674,1,1.887746946,991.7896236,0.094795539,16.56414475,0.075755692,1000,26.42752786,18.28229113,2.829553146,288.936973,1413.946271,0.071826501,9.984809465,1.986589244,7670.882,1.997622576,-17.16,18.79182156,0.1,1.5,3.454098797,50,16.7380498,0.2,0.112205064,12.79399181,-1.907949056,0.5,0.687,0.016609803,5.8719017,0.8125,0.2,0.194181084,24.85840232,0.406909147,-0.391371354,106.4674404,11.12690298,0.509,0,26.30327674,10.79618275,218.5878445,0.062643332,12265.77756,65.18,1.621176282
18,0,1,1.749268792,684.5799256,0.082543978,16.604904,-0.148227699,1000,66.06881965,-2.864543142,8.673160561,439.6333638,1589.112107,0.65462963,0,10.20231481,10609.573,2.142830747,-47.58,14.9526387,0.17,1.5,0,50,33.11699815,0.33,7.48E-05,13.26663655,-1.931371518,0.5,0.472,0.008838459,8.766561618,1,0,0.429840182,14.09534397,0.406842686,-0.556239489,552.0577107,0,0.2002,0,0,-22.06178966,1068.693667,0.049827896,21522.56598,52.04,1.619093331
19,0,1,1.749268792,684.5799256,0.082543978,16.604904,-0.148227699,1000,66.06881965,-2.864543142,8.673160561,439.6333638,1589.112107,0.65462963,0,10.20231481,10609.573,2.142830747,-47.58,14.9526387,0.167,1.5,0,50,33.11699815,0.333,7.48E-05,13.26663655,-1.931371518,0.5,0.478,0.008838459,8.766561618,1,0,0.429840182,14.09534397,0.406842686,-0.556239489,552.0577107,0,0.2002,0,0,-22.06178966,1068.693667,0.049827896,21522.56598,52.04,1.619093331
20,12.79718382,1.983,2.001708055,1005.760716,0.141491396,16.56292422,0.060610271,1000,11.49902367,23.09994324,5.763082643,259.8503584,1235.710636,0.096558727,4.992404733,1.553302627,7466.477,2.255274107,-18.46,17.23135755,0.277,2.444444444,1.661052532,50,16.74174314,0.058,0.005451605,13.62153978,-1.863663749,0.665,0.369,0.011086294,5.8735893,1.055555556,0,0.292507057,97.35834012,0.412451955,-0.614086243,105.8827824,48.02802097,2.857,0,12.79718382,1.85956991,215.5811779,0.160627946,13409.21696,62.05,1.618675539
21,0,1,1.768324594,654.2662978,0.06295754,16.59920646,-0.148227699,830,66.06881965,117.2624875,2.601053541,330.4532439,1515.936722,0.195,0,0,9625.629,1.802227409,-56.16,10.89604685,0.063,1.333333333,1.4375,100,16.85467216,0.438,0.030334836,12.65382745,-1.849294283,0.5,0.76,0.009560247,6.12098948,0.833333333,0,0.233503757,194.1237462,0.411111959,-0.638138802,503.1288605,12.84164325,-0.2488,0,0,-19.94976113,937.240305,0.043137008,22986.52704,40.46,1.615950052
22,0,1.05,2.243363862,573.6477782,0.106870229,16.75006188,-0.193612136,1000,11.8778279,133.2071658,2.606815851,202.0368114,1262.095198,0.773148148,0,5.082236801,7408.676,1.92609871,-47.45,10.89122137,0.244,1.714285714,0.931394558,100,32.16781407,0.195,0.158002654,13.0742196,-2.33292816,0.512,0.445,0.007283348,7.981883404,1.571428571,0.049,0.217066653,194.1237462,0.507756147,-2.756349822,476.7013326,0,-1.2282,0,11.8778279,-2.915241436,574.9166858,0.363190711,18208.95743,77.76,1.613841822
23,0,0.2,1.841818145,357.2804528,0.11205074,16.59591641,-0.145547907,1000,0,-1.682373315,2.626263564,285.5336449,1062.604734,0.283163265,0,0,6734.575,1.960693252,-31.88,17.1627907,0.5,1.25,3.8275,500,16.74580333,0.333,0.019528555,13.11871774,-1.850951937,0.167,0.133,0.011635187,5.951172974,0.625,0,0.453755724,0,0.414609618,-0.91121057,304.9224015,12.84164325,0.5314,0,0,-14.86163473,699.4894615,0.043052419,14055.36761,40.46,1.610660163
24,26.30327674,1,1.887746946,991.7896236,0.094795539,16.56414475,0.075755692,1000,26.42752786,18.28229113,2.829553146,288.936973,1413.946271,0.071826501,9.984809465,1.986589244,7670.882,1.997622576,-17.16,18.79182156,0.167,1.5,3.454098797,50,16.7380498,0.167,0.112205064,12.79399181,-1.907949056,0.5,0.551,0.016609803,5.8719017,0.8125,0.167,0.194181084,24.85840232,0.406909147,-0.391371354,106.4674404,11.12690298,0.509,0,26.30327674,10.79618275,218.5878445,0.062643332,12265.77756,65.18,1.609594409
25,26.30327674,1,1.887746946,991.7896236,0.092081031,16.56312202,0.076093321,1000,26.42752786,18.34446245,2.83209687,295.3577947,1478.154487,0.071826501,9.984809465,1.986589244,7741.017,1.997622576,-17.16,18.72928177,0.166666667,1.5,3.454098797,500,16.73768923,0.333333333,0.112373525,12.79451268,-1.907949056,0.5,0.551,0.016609803,5.872255572,0.8125,0,0.193871579,24.85840232,0.406909147,-0.391185944,106.4674404,11.12690298,0.509,0,26.30327674,10.83723698,218.6682778,0.062643332,12365.07127,65.18,1.602059991
26,0,1.05,2.243363862,573.6477782,0.106870229,16.75006188,-0.193612136,1000,11.8778279,133.2071658,2.606815851,202.0368114,1262.095198,0.773148148,0,5.082236801,7408.676,1.92609871,-47.45,10.89122137,0.244,1.714285714,0.931394558,100,32.16781407,0.146,0.158002654,13.0742196,-2.33292816,0.512,0.432,0.007283348,7.981883404,1.571428571,0.098,0.217066653,194.1237462,0.507756147,-2.756349822,476.7013326,0,-1.2282,0,11.8778279,-2.915241436,574.9166858,0.363190711,18208.95743,77.76,1.591064607
27,0,1.05,2.243363862,573.6477782,0.106870229,16.75006188,-0.193612136,1000,11.8778279,133.2071658,2.606815851,202.0368114,1262.095198,0.773148148,0,5.082236801,7408.676,1.92609871,-47.45,10.89122137,0.244,1.714285714,0.931394558,100,32.16781407,0.146,0.158002654,13.0742196,-2.33292816,0.512,0.432,0.007283348,7.981883404,1.571428571,0.098,0.217066653,194.1237462,0.507756147,-2.756349822,476.7013326,0,-1.2282,0,11.8778279,-2.915241436,574.9166858,0.363190711,18208.95743,77.76,1.582063363
