,preNumRotatableBonds,ex1SlogP_VSA5,pieceBCUT2D_MWLOW,pieceMinPartialCharge,ex1Chi2v,ex2PEOE_VSA7,pieceVSA_EState3,R,pieceSlogP_VSA5,ex1Chi4v,pieceMolLogP,pieceVSA_EState10,piecePEOE_VSA14,ex2HallKierAlpha,ex2EState_VSA7,ex1Kappa3,piecePEOE_VSA8,Diisocyanate_ratio,pieceFpDensityMorgan3,ex1HallKierAlpha,pieceBCUT2D_MRHI,piecePEOE_VSA10,pieceMaxAbsPartialCharge,piecePEOE_VSA2,ex2PEOE_VSA14,pieceMaxEStateIndex,pieceEState_VSA9,pieceFpDensityMorgan1,preBalabanJ,ex1HeavyAtomMolWt,piecePEOE_VSA7,pieceqed,extender2_ratio,pieceVSA_EState7,pieceChi4v,ex2Chi4v,ex2Kappa3,ex1EState_VSA6,pieceVSA_EState9,pieceMinAbsEStateIndex,pieceEState_VSA5,polyol_ratio,preqed,ex1VSA_EState10,pieceMinEStateIndex,ex1EState_VSA8,Hs_wt,pieceBCUT2D_MWHI,mac_rate,pieceVSA_EState1,extender1_ratio,pieceHallKierAlpha,lg_Eb,prexgb
10,153,0.0,10.04343866,-0.449311805,5.580880229,25.93115606,62.06248783,1,1963.895138,3.073846186,113.9394,0,97.11908778,-0.08,0.0,3.115617916,1989.275727,0.5,0.084801762,-1.26,8.763785225,0.0,0.449311805,53.16788604,0,13.11577373,710.5294431,0.029735683,0.661731168,236.28,2257.916393,0.00956017,0.0,289.6986071,94.02580311,0.288675135,3.92,21.58779595,6.319777146,0.255902247,0.0,0.25,0.023550178,0,-0.497732123,0.0,0.2724336,33.11475595,100,874.1956896,0.25,-30.62,,2.637763
11,153,0.0,10.04343866,-0.452633642,3.79327881,25.93115606,53.24686458,1,1963.895138,1.731480565,111.4576,0,97.30546446,-0.08,0.0,6.62,1972.568022,0.5,0.088888889,0.62,8.763545696,13.21376393,0.452633642,69.11825185,0,12.78634875,720.003169,0.032222222,0.661731168,144.176,2209.385457,0.009560173,0.0,288.0064391,92.61578316,0.288675135,3.92,21.58779595,5.944611923,0.199617181,28.69759349,0.25,0.023550178,0,-0.55220665,0.0,0.246639069,33.11471323,100,889.4867655,0.25,-29.06,,2.6784987
12,153,0.0,10.04343866,-0.449311805,3.121320344,25.93115606,61.76395751,1,1963.895138,0.866025404,110.5836,0,97.11908778,-0.08,0.0,4.62,1968.109987,0.5,0.082405345,0.62,8.763229423,0.0,0.449311805,53.16788604,0,12.78633415,710.5294431,0.030066815,0.661731168,116.17,2209.385457,0.007283329,0.0,289.7021934,92.24838646,0.288675135,3.92,21.58779595,5.959104346,0.25589754,21.58779595,0.25,0.023550178,0,-0.500081417,0.0,0.238022088,33.11472506,100,874.061633,0.25,-29.06,,2.694156
13,153,0.0,10.04342546,-0.467461623,5.380625966,25.93115606,61.20918359,1,1963.895138,2.896502341,108.7678,0,109.0576984,-0.08,0.0,6.209877378,1979.615694,0.5,0.095814978,-0.44,8.763880693,12.08368166,0.467461623,53.16788604,0,13.30450219,720.003169,0.036343612,0.661731168,252.232,2209.385457,0.007283329,0.0,288.9499622,94.02643101,0.288675135,3.92,0.0,7.995793201,0.061954645,35.80739104,0.25,0.023550178,0,-1.066512185,9.473725908,0.277684719,33.114715,100,884.1280283,0.25,-30.12,,2.574112
14,153,0.0,10.04343866,-0.452633642,5.430611342,25.93115606,53.30709373,1,1963.895138,3.030467294,114.3002,0,97.30546446,-0.08,0.0,3.115617916,1970.853282,0.5,0.099118943,-1.26,8.763781399,11.49902367,0.452633642,69.11825185,0,12.99953198,720.003169,0.034140969,0.661731168,240.264,2257.916393,0.009560173,0.0,287.7834551,93.8538552,0.288675135,3.92,45.85326423,5.973275892,0.255908018,28.69759349,0.25,0.023550178,0,-0.617665228,0.0,0.272954111,33.114756,100,890.005496,0.25,-30.62,,2.532135
15,153,12.84164325,10.04343866,-0.452633642,4.500385592,25.93115606,53.30475357,1,1976.736781,2.508618678,111.7458,0,97.30546446,-0.08,0.0,8.62,1972.568022,0.5,0.088691796,0.62,8.763371975,0.0,0.452633642,69.11825185,0,12.7863736,720.003169,0.032150776,0.661731168,168.198,2222.2271,0.009560173,0.0,289.5414161,93.31196185,0.288675135,3.92,21.58779595,6.274815528,0.255900597,7.109797541,0.25,0.023550178,0,-0.51465947,0.0,0.254516882,33.11471331,100,889.5838749,0.25,-29.06,,2.7841268
16,153,0.0,10.04342546,-0.467461623,5.380625966,25.93115606,61.20918359,1,1963.895138,2.896502341,108.7678,0,109.0576984,-0.08,0.0,6.209877378,1979.615694,0.5,0.095814978,-0.44,8.763880693,12.08368166,0.467461623,53.16788604,0,13.30450219,720.003169,0.036343612,0.661731168,252.232,2209.385457,0.007283329,0.0,288.9499622,94.02643101,0.288675135,3.92,0.0,7.995793201,0.061954645,35.80739104,0.25,0.023550178,0,-1.066512185,9.473725908,0.277684719,33.114715,100,884.1280283,0.25,-30.12,,2.574112
17,153,20.71597735,10.04343866,-0.458434937,7.091023624,25.93115606,53.07076018,1,1984.611115,4.278651099,112.9054,0,109.244075,-0.08,0.0,5.771564545,1970.853282,0.5,0.105664488,-2.0,8.764195664,26.42752786,0.458434937,69.11825185,0,13.47010769,729.4768949,0.034858388,0.661731168,376.326,2233.650925,0.007283331,0.0,287.0453546,95.04678122,0.288675135,3.92,48.53093655,5.398018947,0.212345587,28.69759349,0.25,0.023550178,0,-0.727558386,0.0,0.309149895,33.114758,100,900.5271723,0.25,-31.68,,2.6390045
18,153,46.39926384,10.04343866,-0.462065126,8.505237186,25.93115606,53.21340684,1,2010.294402,4.759432516,113.4818,0,109.244075,-0.08,0.0,8.024691358,1970.853282,0.5,0.101952278,-2.0,8.764200315,0.0,0.462065126,69.11825185,0,13.4709064,729.4768949,0.034707158,0.661731168,424.37,2259.334212,0.007283331,0.0,289.2917631,95.57703798,0.288675135,3.92,24.26546827,5.53548948,0.101682026,28.69759349,0.25,0.023550178,0,-0.608063765,0.0,0.322284768,33.11475851,100,901.0111403,0.25,-31.68,,2.6510937
19,153,72.08255033,10.04343866,-0.462067464,9.919450749,25.93115606,53.29365896,1,2035.977688,5.466539297,114.0582,0,109.244075,-0.08,0.0,10.50812162,1970.853282,0.5,0.10475162,-2.0,8.764204985,0.0,0.462067464,69.11825185,0,13.46659416,729.4768949,0.034557235,0.661731168,472.414,2285.017498,0.007283331,0.0,293.3675894,96.28414476,0.288675135,3.92,24.26546827,5.621556042,0.22137541,28.69759349,0.25,0.023550178,0,-0.547134009,0.0,0.334929503,33.11475903,100,901.2195569,0.25,-31.68,,2.6883316
