,pieceVSA_EState6,pieceBCUT2D_MRHI,ex1EState_VSA8,pieceEState_VSA6,piecePEOE_VSA10,piecefr_C_O_noCOO,pieceSlogP_VSA5,pieceBertzCT,pieceEState_VSA1,ex1qed,preChi1n,pieceSMR_VSA5,ex2MolLogP,ex1BCUT2D_LOGPHI,pieceVSA_EState4,preChi4v,piecePEOE_VSA7,ex2Chi4n,pieceFpDensityMorgan2,ex1SPS.1,preMinEStateIndex,pieceEState_VSA2,pieceBCUT2D_CHGLO,pieceHallKierAlpha,pieceBCUT2D_LOGPHI,pieceMaxEStateIndex,pieceBCUT2D_MWHI,ex1PEOE_VSA8,ex2MinAbsEStateIndex,preChi4n,pieceChi4n,pieceSlogP_VSA3,preSMR_VSA6,ex1EState_VSA4,R,pieceVSA_EState3,ex2BCUT2D_LOGPHI,pieceVSA_EState9,pieceVSA_EState2,pieceMinAbsEStateIndex,pieceChi4v,pieceNumHeteroatoms,pieceChi3v,preKappa3,polyol_ratio,preMaxPartialCharge,pieceKappa3,Diisocyanate_ratio,pieceMinEStateIndex,piecePEOE_VSA14,pieceEState_VSA3,pieceVSA_EState5,piecePEOE_VSA8,pieceBCUT2D_CHGHI,Hs_wt,extender2_ratio,prePEOE_VSA8,extender1_ratio,self_time,self_tem,E1
0,-2.905558375,5.891474493,9.967957042,48.4661604,63.55424176,16,965.9205187,15059.28394,191.1857496,0.539835031,40.08204104,1567.786579,-0.80468,1.991367908,-4.046587983,13.17979248,877.7233888,1.039015105,0.149712092,10.16666667,-0.506092155,775.9931671,-2.464145511,-17.32,2.675232945,13.7332603,16.84958837,24.28508307,0.06000189,13.17979248,61.59290952,481.7910757,146.2329833,0,1,53.37114769,1.991367908,2.709513094,252.2281299,0.003138525,61.59290952,139,87.99178359,51.07616232,0.25,0.406997194,245.3361374,0.5,-0.650974524,97.36759002,610.1328884,-0.117581499,136.0491801,2.705260392,0.380329169,0,25.17319447,0.25,10,80,0.25
1,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.384440376,0.0625,25.17319447,0.1875,10,80,0.66
2,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.388497391,0.125,25.17319447,0.125,10,70,0.7
3,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.388497391,0.125,25.17319447,0.125,1,80,0.36
4,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.388497391,0.125,25.17319447,0.125,5,80,0.9
5,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.388497391,0.125,25.17319447,0.125,10,80,0.99
6,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.388497391,0.125,25.17319447,0.125,3,90,0.92
7,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.392501279,0.1875,25.17319447,0.0625,10,80,0.86
8,12.90413561,5.917920491,9.967957042,48.59009518,63.55424176,16,965.7900422,15448.18231,156.5789071,0.539835031,40.08204104,1567.283663,2.6362,1.991367908,-0.211721531,13.17979248,919.0336661,1.65728322,0.175238095,10.16666667,-0.506092155,767.2874844,-2.464382764,-17.76,2.679668991,13.73361088,16.84466151,24.28508307,0.815958023,13.17979248,62.38099932,478.7381714,146.2329833,0,1,59.97761353,2.109394655,2.960983736,231.7393758,0.002570822,62.38099932,136,89.13867063,51.07616232,0.25,0.406997194,246.0742503,0.5,-0.650792856,97.2433389,609.6407809,-0.058599103,136.7934235,2.706373281,0.388497391,0.125,25.17319447,0.125,10,80,0.5
9,13.83264161,5.801873179,0,14.09534397,0,16,1241.438245,11972.28695,60.93240071,0.625313217,41.98537763,1293.698191,0.604,2.020339002,1.510002681,14.0331702,1161.9084,0.883597772,0.118343195,9.8,-0.418996804,171.1612612,-2.46448272,-15.84,2.655133777,13.54355351,16.71101297,13.08951281,0.591111111,14.0331702,65.80185232,381.4437472,212.3018029,11.12690298,1,66.8611981,2.020339002,3.247902929,206.4806906,0.0395799,65.80185232,113,90.53129495,64.74937925,0.384615385,0.406643739,317.8979296,0.5,-0.439218359,97.11908778,354.5376366,0,999.8618029,2.63780749,0.248026332,0.057692308,196.9521255,0.057692308,6,25,0.6217
